Data Table for Daily Case Trends - California
Date generated: Tue Nov 30 2021 21:57:49 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
California,Jul  3 2021,0,1108,44238788
California,Jul  2 2021,1792,1348,44189494
California,Jul  1 2021,1698,1380,44098604
California,Jun 30 2021,0,1340,44018325
California,Jun 29 2021,762,1453,43932981
California,Jun 28 2021,1256,1435,43842582
California,Jun 27 2021,2251,1416,43764446
California,Jun 26 2021,1683,1231,43730818
California,Jun 25 2021,2015,1158,43658629
California,Jun 24 2021,1419,1055,43544864
California,Jun 23 2021,787,971,43446896
California,Jun 22 2021,635,959,43346033
California,Jun 21 2021,1123,958,43238174
California,Jun 20 2021,956,915,43162209
California,Jun 19 2021,1176,913,43129353
California,Jun 18 2021,1295,893,43048863
California,Jun 17 2021,829,870,42912788
California,Jun 16 2021,699,874,42792334
California,Jun 15 2021,628,895,42665065
California,Jun 14 2021,827,918,42526512
California,Jun 13 2021,942,925,42406254
California,Jun 12 2021,1032,948,42360743
California,Jun 11 2021,1136,966,42240843
California,Jun 10 2021,856,953,42074404
California,Jun  9 2021,846,941,41920536
California,Jun  8 2021,792,886,41761372
California,Jun  7 2021,874,833,41596511
California,Jun  6 2021,1101,800,41457150
California,Jun  5 2021,1157,797,41392305
California,Jun  4 2021,1047,805,41234184
California,Jun  3 2021,773,1350,41032213
California,Jun  2 2021,461,1442,40856187
California,Jun  1 2021,423,1541,40708950
California,May 31 2021,644,1569,40534221
California,May 30 2021,1079,1632,40513165
California,May 29 2021,1210,1664,40463460
California,May 28 2021,4864,1661,40352968
California,May 27 2021,1418,1199,40158244
California,May 26 2021,1155,1181,39978365
California,May 25 2021,618,1153,39788192
California,May 24 2021,1081,1162,39591758
California,May 23 2021,1308,1150,39413751
California,May 22 2021,1186,1159,39319457
California,May 21 2021,1627,1256,39107656
California,May 20 2021,1292,1314,38815198
California,May 19 2021,959,1336,38539718
California,May 18 2021,687,1374,38250702
California,May 17 2021,995,1426,37957460
California,May 16 2021,1370,1480,37706902
California,May 15 2021,1864,1549,37559255
California,May 14 2021,2034,1561,37271258
California,May 13 2021,1443,1623,36916122
California,May 12 2021,1231,1638,36586963
California,May 11 2021,1045,1660,36304382
California,May 10 2021,1377,1704,36016976
California,May  9 2021,1853,1723,35800476
California,May  8 2021,1945,1780,35699882
California,May  7 2021,2471,1802,35457392
California,May  6 2021,1547,1720,35091188
California,May  5 2021,1388,1707,34722509
California,May  4 2021,1349,1736,34371610
California,May  3 2021,1512,1750,34026073
California,May  2 2021,2254,1836,33761250
California,May  1 2021,2094,1763,33638293
California,Apr 30 2021,1897,1639,33375994
California,Apr 29 2021,1457,1628,32973574
California,Apr 28 2021,1593,1764,32587004
California,Apr 27 2021,1445,1840,32201987
California,Apr 26 2021,2116,1863,31810809
California,Apr 25 2021,1739,1835,31492388
California,Apr 24 2021,1229,1967,31331517
California,Apr 23 2021,1818,2186,30989090
California,Apr 22 2021,2411,2277,30517054
California,Apr 21 2021,2126,2220,30039073
California,Apr 20 2021,1606,2272,29577618
California,Apr 19 2021,1916,2266,29119057
California,Apr 18 2021,2667,2371,28789379
California,Apr 17 2021,2763,2698,28625460
California,Apr 16 2021,2451,2941,28263850
California,Apr 15 2021,2016,2963,27758065
California,Apr 14 2021,2487,2974,27237862
California,Apr 13 2021,1568,2937,26762509
California,Apr 12 2021,2649,2909,26305634
California,Apr 11 2021,4954,2832,25948684
California,Apr 10 2021,4466,2467,25746589
California,Apr  9 2021,2606,2526,25349426
California,Apr  8 2021,2093,2498,24818179
California,Apr  7 2021,2229,2519,24281477
California,Apr  6 2021,1367,2480,23767911
California,Apr  5 2021,2112,2570,23271226
California,Apr  4 2021,2400,2594,22887599
California,Apr  3 2021,4877,2679,22748630
California,Apr  2 2021,2414,2451,22398028
California,Apr  1 2021,2234,2479,21887311
California,Mar 31 2021,1962,2481,21355834
California,Mar 30 2021,1996,2480,20899603
California,Mar 29 2021,2277,2455,20467902
California,Mar 28 2021,2998,2416,20130455
California,Mar 27 2021,3278,2466,19948366
California,Mar 26 2021,2608,2442,19613744
California,Mar 25 2021,2251,2539,19136959
California,Mar 24 2021,1955,2651,18684321
California,Mar 23 2021,1823,2720,18267991
California,Mar 22 2021,2000,2640,17881174
California,Mar 21 2021,3350,2706,17587975
California,Mar 20 2021,3107,2623,17431847
California,Mar 19 2021,3287,2641,17117545
California,Mar 18 2021,3038,2667,16674924
California,Mar 17 2021,2441,2688,16237153
California,Mar 16 2021,1260,3255,15830631
California,Mar 15 2021,2460,3449,15446026
California,Mar 14 2021,2772,3563,15135107
California,Mar 13 2021,3230,3712,14970731
California,Mar 12 2021,3471,3886,14668698
California,Mar 11 2021,3184,4056,14241640
California,Mar 10 2021,6412,4102,13831256
California,Mar  9 2021,2614,3665,13479230
California,Mar  8 2021,3258,3653,13160880
California,Mar  7 2021,3816,3690,12919551
California,Mar  6 2021,4452,3814,12773436
California,Mar  5 2021,4659,3914,12504116
California,Mar  4 2021,3504,4020,12129442
California,Mar  3 2021,3352,4228,11738815
California,Mar  2 2021,2533,4507,11361587
California,Mar  1 2021,3516,4638,11035670
California,Feb 28 2021,4685,4802,10759089
California,Feb 27 2021,5151,5098,10606201
California,Feb 26 2021,5400,5315,10325757
California,Feb 25 2021,4965,5515,9935321
California,Feb 24 2021,5303,5602,9568594
California,Feb 23 2021,3447,5428,9244988
California,Feb 22 2021,4665,5749,8978512
California,Feb 21 2021,6760,6009,8785446
California,Feb 20 2021,6668,6307,8687887
California,Feb 19 2021,6798,6700,8510829
California,Feb 18 2021,5573,7166,8226862
California,Feb 17 2021,4090,7595,7922952
California,Feb 16 2021,5692,8209,7637255
California,Feb 15 2021,6487,8575,7358886
California,Feb 14 2021,8842,9136,7202218
California,Feb 13 2021,9421,10024,7095658
California,Feb 12 2021,10059,10449,6906051
California,Feb 11 2021,8575,11015,6605944
California,Feb 10 2021,8390,11672,6313745
California,Feb  9 2021,8251,11974,6039123
California,Feb  8 2021,10414,12519,5802434
California,Feb  7 2021,15064,13225,5598569
California,Feb  6 2021,12394,13784,5518781
California,Feb  5 2021,14021,14645,5343996
California,Feb  4 2021,13176,15405,5063537
California,Feb  3 2021,10501,15908,4801602
California,Feb  2 2021,12064,16797,4555762
California,Feb  1 2021,15358,17506,4341486
California,Jan 31 2021,18974,19171,4151765
California,Jan 30 2021,18427,19904,4069316
California,Jan 29 2021,19337,20554,3924678
California,Jan 28 2021,16696,21080,3714637
California,Jan 27 2021,16728,21506,3502021
California,Jan 26 2021,17028,22316,3295365
California,Jan 25 2021,27007,23283,3103458
California,Jan 24 2021,24111,23810,2943559
California,Jan 23 2021,22972,26399,2874972
California,Jan 22 2021,23024,28920,2750083
California,Jan 21 2021,19673,31725,2558626
California,Jan 20 2021,22403,34047,2368964
California,Jan 19 2021,23794,35668,2186967
California,Jan 18 2021,30699,37481,2025105
California,Jan 17 2021,42229,38787,1932371
California,Jan 16 2021,40622,39852,1879126
California,Jan 15 2021,42655,41569,1791014
California,Jan 14 2021,35930,42622,1636507
California,Jan 13 2021,33751,42687,1499361
California,Jan 12 2021,36487,42136,1367882
California,Jan 11 2021,39839,43014,1241509
California,Jan 10 2021,49685,39957,1126135
California,Jan  9 2021,52636,39338,1098641
California,Jan  8 2021,50030,39439,1049375
California,Jan  7 2021,36385,41008,927684
California,Jan  6 2021,29892,37726,823237
California,Jan  5 2021,42631,37873,740163
California,Jan  4 2021,18442,36246,676842
California,Jan  3 2021,45352,38350,625512
California,Jan  2 2021,53341,39034,618413
California,Jan  1 2021,61016,35754,598301
California,Dec 31 2020,13410,33348,591414
California,Dec 30 2020,30921,36295,555957
California,Dec 29 2020,31245,37459,485968
California,Dec 28 2020,33170,37661,425617
California,Dec 27 2020,50141,38335,372947
California,Dec 26 2020,30375,37811,362330
California,Dec 25 2020,44175,39702,345694
California,Dec 24 2020,34039,39250,343150
California,Dec 23 2020,39069,41856,315481
California,Dec 22 2020,32659,43948,256325
California,Dec 21 2020,37892,43900,198530
California,Dec 20 2020,46474,43241,144339
California,Dec 19 2020,43608,40935,123470
California,Dec 18 2020,41012,39810,95430
California,Dec 17 2020,52281,39018,44926
California,Dec 16 2020,53711,35789,14430
California,Dec 15 2020,32326,32523,4384
California,Dec 14 2020,33278,31229,3035
California,Dec 13 2020,30334,30009,2982
California,Dec 12 2020,35729,29972,N/A
California,Dec 11 2020,35468,28449,N/A
California,Dec 10 2020,29677,26528,N/A
California,Dec  9 2020,30851,24943,N/A
California,Dec  8 2020,23272,23502,N/A
California,Dec  7 2020,24735,21923,N/A
California,Dec  6 2020,30075,20395,N/A
California,Dec  5 2020,25068,18329,N/A
California,Dec  4 2020,22018,16461,N/A
California,Dec  3 2020,18588,15121,N/A
California,Dec  2 2020,20762,14557,N/A
California,Dec  1 2020,12221,14212,N/A
California,Nov 30 2020,14034,14656,N/A
California,Nov 29 2020,15614,13843,N/A
California,Nov 28 2020,11996,13658,N/A
California,Nov 27 2020,12635,14150,N/A
California,Nov 26 2020,14640,14203,N/A
California,Nov 25 2020,18350,13751,N/A
California,Nov 24 2020,15329,12531,N/A
California,Nov 23 2020,8337,11590,N/A
California,Nov 22 2020,14319,11812,N/A
California,Nov 21 2020,15442,11333,N/A
California,Nov 20 2020,13005,10538,N/A
California,Nov 19 2020,11478,9665,N/A
California,Nov 18 2020,9811,9015,N/A
California,Nov 17 2020,8743,8680,N/A
California,Nov 16 2020,9890,8197,N/A
California,Nov 15 2020,10968,7549,N/A
California,Nov 14 2020,9875,7345,N/A
California,Nov 13 2020,6893,6772,N/A
California,Nov 12 2020,6927,6719,N/A
California,Nov 11 2020,7464,6381,N/A
California,Nov 10 2020,5367,6078,N/A
California,Nov  9 2020,5351,5889,N/A
California,Nov  8 2020,9543,5709,N/A
California,Nov  7 2020,5863,4993,N/A
California,Nov  6 2020,6518,4882,N/A
California,Nov  5 2020,4566,4524,N/A
California,Nov  4 2020,5338,4471,N/A
California,Nov  3 2020,4044,4353,N/A
California,Nov  2 2020,4094,4231,N/A
California,Nov  1 2020,4529,4072,N/A
California,Oct 31 2020,5087,4170,N/A
California,Oct 30 2020,4014,4293,N/A
California,Oct 29 2020,4191,4597,N/A
California,Oct 28 2020,4515,4418,N/A
California,Oct 27 2020,3188,4303,N/A
California,Oct 26 2020,2981,4317,N/A
California,Oct 25 2020,5219,4387,N/A
California,Oct 24 2020,5945,4050,N/A
California,Oct 23 2020,6141,3627,N/A
California,Oct 22 2020,2940,3189,N/A
